gbifID,countryCode,stateProvince,decimalLatitude,decimalLongitude,eventDate,year,month,day,datasetName,basisOfRecord,date,date_str,temp_mean,precip,humidity,wind_max
3120302404,CH,Zh,47.50602,8.73283,2012-08-26,2012,8,26.0,,PRESERVED_SPECIMEN,2012-08-26,2012-08-26,15.4,2.2,74.0,22.6
4868845073,GB,,50.720539,-3.528013,2012-08-22T00:00,2012,8,22.0,,PRESERVED_SPECIMEN,2012-08-22,2012-08-22,15.7,0.4,80.0,20.7
6135412768,GB,England,51.4,-2.9,2012-08-16,2012,8,16.0,Fungus Conservation Trust - CATE,HUMAN_OBSERVATION,2012-08-16,2012-08-16,17.1,3.7,81.0,25.2
3120398165,CH,Ti,46.42355,8.96722,2012-09-05,2012,9,5.0,,HUMAN_OBSERVATION,2012-09-05,2012-09-05,17.7,1.4,85.0,6.8
4868866044,GB,,51.478622,-2.372272,2012-09-04T00:00,2012,9,4.0,,PRESERVED_SPECIMEN,2012-09-04,2012-09-04,,,,
4869017606,GB,,50.961086,-2.856581,2012-09-14T00:00,2012,9,14.0,,PRESERVED_SPECIMEN,2012-09-14,2012-09-14,15.0,0.0,77.0,28.7
5071005405,UA,Sums'ka Oblast',50.8968,34.7741,2012-10-14,2012,10,14.0,,HUMAN_OBSERVATION,2012-10-14,2012-10-14,6.3,1.7,85.0,18.4
3120340185,CH,Ti,46.20116,8.76661,2012-11-15,2012,11,15.0,,HUMAN_OBSERVATION,2012-11-15,2012-11-15,2.7,0.0,81.0,7.0
5071005407,UA,Sums'ka Oblast',50.8966,34.7742,2011-10-15,2011,10,15.0,,HUMAN_OBSERVATION,2011-10-15,2011-10-15,4.4,0.2,78.0,14.7
3120411183,CH,Ti,46.15373,8.95965,2010-09-10,2010,9,10.0,,HUMAN_OBSERVATION,2010-09-10,2010-09-10,18.9,0.0,65.0,8.3
3120340221,CH,Ti,46.19956,8.89614,2010-11-05,2010,11,5.0,,HUMAN_OBSERVATION,2010-11-05,2010-11-05,5.0,0.0,85.0,5.8
442066648,DE,,51.1775,14.422778,2009-08-19,2009,8,19.0,,PRESERVED_SPECIMEN,2009-08-19,2009-08-19,,,,
1622373314,DE,,51.936039,11.786434,2009-08-27,2009,8,27.0,,PRESERVED_SPECIMEN,2009-08-27,2009-08-27,22.7,0.0,62.0,13.2
2845998775,FR,,48.5,7.5,2009-08-30,2009,8,30.0,,PRESERVED_SPECIMEN,2009-08-30,2009-08-30,16.0,0.0,67.0,6.6
3120398192,CH,Ti,46.2019,8.70185,2009-08-01,2009,8,1.0,,HUMAN_OBSERVATION,2009-08-01,2009-08-01,16.4,3.6,88.0,6.8
3120358203,CH,Vs,46.29887,7.53598,2009-10-28,2009,10,28.0,,HUMAN_OBSERVATION,2009-10-28,2009-10-28,,,,
4006715591,UA,Kharkiv,50.054843,36.302977,2008-07-09T10:43,2008,7,9.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2008-07-09,2008-07-09,19.2,12.2,82.0,13.7
694846481,DE,,51.773098,12.635928,2008-09-08,2008,9,8.0,,PRESERVED_SPECIMEN,2008-09-08,2008-09-08,,,,
2845998767,DE,,49.0,8.6,2007-07-28,2007,7,28.0,,PRESERVED_SPECIMEN,2007-07-28,2007-07-28,18.9,0.7,73.0,26.3
2845976954,DE,,49.3,9.4,2007-08-29,2007,8,29.0,,PRESERVED_SPECIMEN,2007-08-29,2007-08-29,16.2,0.0,63.0,14.3
